,Bin input uns,Bin input,Bin output,Bin sim. output
416,224.0,-32.0,-31.0,-32.0
417,230.0,-26.0,-29.0,-30.0
418,221.0,-35.0,-29.0,-30.0
419,235.0,-21.0,-26.0,-27.0
420,227.0,-29.0,-26.0,-26.0
421,231.0,-25.0,-24.0,-25.0
422,238.0,-18.0,-22.0,-23.0
423,229.0,-27.0,-22.0,-22.0
424,242.0,-14.0,-19.0,-20.0
425,235.0,-21.0,-18.0,-19.0
426,239.0,-17.0,-16.0,-17.0
427,245.0,-11.0,-15.0,-15.0
428,237.0,-19.0,-14.0,-14.0
429,250.0,-6.0,-11.0,-12.0
430,242.0,-14.0,-10.0,-11.0
431,247.0,-9.0,-9.0,-9.0
432,253.0,-3.0,-7.0,-7.0
433,245.0,-11.0,-6.0,-6.0
434,1.0,1.0,-3.0,-4.0
435,250.0,-6.0,-2.0,-3.0
436,255.0,-1.0,-1.0,-1.0
437,4.0,4.0,0.0,0.0
438,253.0,-3.0,1.0,1.0
439,9.0,9.0,4.0,3.0
440,1.0,1.0,5.0,4.0
441,7.0,7.0,7.0,6.0
442,12.0,12.0,8.0,8.0
443,4.0,4.0,9.0,9.0
444,17.0,17.0,12.0,11.0
445,9.0,9.0,13.0,12.0
446,15.0,15.0,14.0,14.0
447,20.0,20.0,16.0,16.0
448,12.0,12.0,17.0,17.0
449,25.0,25.0,20.0,19.0
450,17.0,17.0,20.0,20.0
451,23.0,23.0,22.0,22.0
452,27.0,27.0,24.0,23.0
453,19.0,19.0,25.0,24.0
454,33.0,33.0,27.0,27.0
455,24.0,24.0,28.0,27.0
456,30.0,30.0,30.0,29.0
457,34.0,34.0,31.0,30.0
458,26.0,26.0,32.0,31.0
459,40.0,40.0,34.0,34.0
460,31.0,31.0,35.0,34.0
461,37.0,37.0,36.0,36.0
462,41.0,41.0,38.0,37.0
463,33.0,33.0,38.0,38.0
464,47.0,47.0,41.0,40.0
465,37.0,37.0,41.0,41.0
466,44.0,44.0,43.0,42.0
467,47.0,47.0,44.0,44.0
468,39.0,39.0,44.0,44.0
469,52.0,52.0,47.0,46.0
470,43.0,43.0,47.0,46.0
471,49.0,49.0,48.0,48.0
472,52.0,52.0,49.0,49.0
473,45.0,45.0,50.0,50.0
474,58.0,58.0,52.0,51.0
475,47.0,47.0,52.0,51.0
476,54.0,54.0,53.0,53.0
477,57.0,57.0,54.0,54.0
